genre,n_movies_used,n_actors_total,n_edges_total,density,n_components,largest_component_size,avg_clustering,transitivity,diameter,avg_shortest_path_length
Thriller,150,1232,5080,0.006699230907191915,137,28,0.9621848739495799,0.8695652173913043,3,1.8571428571428572
Comedy,150,1265,5383,0.00673312653224596,133,35,0.47387670736770726,0.830423940149626,4,2.2
Horror,150,1214,4979,0.0067622719821374975,139,19,0.9721362229102166,0.898876404494382,2,1.4736842105263157
